timestamp,durableCount,diskReadRate,msgMem,sessionCount,syncDBSize,asyncDBSize,diskWriteRate,topicCount,consumerCount,producerCount,queueCount,pendingMessageCount,largeDestCount,connectionCount,inboundMessageCount,pendingMessageSize,outboundMessageRate,outboundMessageCount,inboundMessageRate,msgMemPooled,inboundBytesRate,outboundBytesRate,diskReadOperationsRate,diskWriteOperationsRate,adminConnectionCount,clientConnectionCount,routeRecoverCount,RespTime
Mon Sep 02 12:48:26 681 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,1035,0,0,1034,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:48:56 684 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,1038,0,0,1037,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:49:26 687 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,1041,0,0,1040,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:49:56 690 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,1044,0,0,1043,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:50:26 694 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,1047,0,0,1046,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:50:56 698 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,1050,0,0,1049,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:51:26 701 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,1053,0,0,1052,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:51:56 703 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,1056,0,0,1055,0,53248,0,0,0,0,-1,-1,0,0
Mon Sep 02 12:52:26 706 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,1059,0,0,1058,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:52:56 709 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,1062,0,0,1061,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:53:26 713 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,1065,0,0,1064,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:53:56 718 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,1068,0,0,1067,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:54:26 722 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,1071,0,0,1070,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:54:56 725 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,1074,0,0,1073,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:55:26 728 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,1077,0,0,1076,0,53248,0,0,0,0,-1,-1,0,2
